Ano;Município;Código do Município;Ensino Fundamental ;Ensino Médio;Graduação - Licenciatura;Graduação - Sem Licenciatura;Especialização;Mestrado;Doutorado
2022;Afonso Cláudio ;3200102;0;5;346;7;326;4;1
2022;Água Doce do Norte ;3200169;0;3;134;6;121;3;0
2022;Águia Branca ;3200136;0;6;171;6;140;13;3
2022;Alegre ;3200201;0;6;419;9;320;25;46
2022;Alfredo Chaves ;3200300;0;6;171;5;152;4;2
2022;Alto Rio Novo ;3200359;0;6;79;3;71;1;0
2022;Anchieta ;3200409;0;6;580;21;531;22;4
2022;Apiacá ;3200508;0;13;79;4;59;1;0
2022;Aracruz ;3200607;0;40;1068;87;947;75;18
2022;Atílio Vivácqua ;3200706;0;5;153;11;147;5;0
2022;Baixo Guandu ;3200805;0;6;360;15;336;11;1
2022;Barra de São Francisco ;3200904;0;6;528;17;465;16;8
2022;Boa Esperança ;3201001;0;8;224;15;212;19;4
2022;Bom Jesus do Norte ;3201100;1;14;96;4;82;4;3
2022;Brejetuba ;3201159;0;0;196;6;188;2;0
2022;Cachoeiro de Itapemirim ;3201209;2;47;2064;135;1836;91;35
2022;Cariacica ;3201308;0;61;4151;130;3422;268;56
2022;Castelo ;3201407;1;0;453;16;431;12;6
2022;Colatina ;3201506;0;22;1332;136;1214;98;66
2022;Conceição da Barra ;3201605;0;23;380;10;309;12;4
2022;Conceição do Castelo ;3201704;0;1;169;8;161;4;1
2022;Divino de São Lourenço ;3201803;0;0;58;3;56;3;2
2022;Domingos Martins ;3201902;0;18;436;15;409;12;1
2022;Dores do Rio Preto ;3202009;0;1;90;7;79;7;2
2022;Ecoporanga ;3202108;0;2;293;12;250;8;0
2022;Fundão ;3202207;0;3;211;13;203;4;0
2022;Governador Lindenberg ;3202256;0;1;149;2;139;3;0
2022;Guaçuí ;3202306;0;2;371;10;332;9;2
2022;Guarapari ;3202405;2;32;1359;36;1156;99;29
2022;Ibatiba ;3202454;0;8;266;9;214;20;19
2022;Ibiraçu ;3202504;0;2;149;6;137;6;0
2022;Ibitirama ;3202553;0;2;163;3;153;3;1
2022;Iconha ;3202603;0;0;139;2;130;6;1
2022;Irupi ;3202652;0;0;147;7;147;3;0
2022;Itaguaçu ;3202702;0;10;196;9;165;1;0
2022;Itapemirim ;3202801;0;25;657;25;620;17;1
2022;Itarana ;3202900;0;3;122;4;119;0;0
2022;Iúna ;3203007;0;6;369;11;322;7;1
2022;Jaguaré ;3203056;0;6;399;6;364;6;0
2022;Jerônimo Monteiro ;3203106;0;3;130;3;114;10;6
2022;João Neiva ;3203130;0;2;200;12;185;11;1
2022;Laranja da Terra ;3203163;0;0;133;7;131;0;1
2022;Linhares ;3203205;0;34;2028;116;1807;86;10
2022;Mantenópolis ;3203304;0;5;142;2;127;5;2
2022;Marataízes ;3203320;0;7;761;20;717;49;1
2022;Marechal Floriano ;3203346;0;4;210;7;189;12;2
2022;Marilândia ;3203353;0;3;172;5;156;5;0
2022;Mimoso do Sul ;3203403;0;3;243;14;217;11;3
2022;Montanha ;3203502;0;6;312;13;267;22;7
2022;Mucurici ;3203601;0;6;90;3;75;1;0
2022;Muniz Freire ;3203700;0;1;260;3;223;9;0
2022;Muqui ;3203809;0;3;155;7;150;4;1
2022;Nova Venécia ;3203908;0;6;740;41;680;39;9
2022;Pancas ;3204005;0;1;206;5;191;2;0
2022;Pedro Canário ;3204054;0;6;275;12;256;9;0
2022;Pinheiros ;3204104;0;7;281;11;268;14;0
2022;Piúma ;3204203;0;1;320;23;269;17;26
2022;Ponto Belo ;3204252;0;1;87;7;86;0;0
2022;Presidente Kennedy ;3204302;0;5;320;5;284;76;5
2022;Rio Bananal ;3204351;0;2;277;13;249;1;0
2022;Rio Novo do Sul ;3204401;0;2;162;3;140;4;0
2022;Santa Leopoldina ;3204500;0;2;135;11;110;4;3
2022;Santa Maria de Jetibá ;3204559;0;2;539;30;505;37;12
2022;Santa Teresa ;3204609;0;1;333;9;246;31;32
2022;São Domingos do Norte ;3204658;0;2;140;2;125;2;0
2022;São Gabriel da Palha ;3204708;0;4;331;14;306;4;1
2022;São José do Calçado ;3204807;1;5;114;9;112;5;0
2022;São Mateus ;3204906;0;48;1412;106;1199;145;13
2022;São Roque do Canaã ;3204955;0;4;124;6;116;3;0
2022;Serra ;3205002;8;134;5342;209;4397;369;94
2022;Sooretama ;3205010;0;20;397;10;360;3;2
2022;Vargem Alta ;3205036;0;2;231;7;215;6;1
2022;Venda Nova do Imigrante ;3205069;0;6;364;12;275;46;23
2022;Viana ;3205101;0;7;1002;24;901;41;10
2022;Vila Pavão ;3205150;0;3;120;7;121;4;2
2022;Vila Valério ;3205176;0;5;184;3;171;0;0
2022;Vila Velha ;3205200;5;213;4615;301;3436;333;75
2022;Vitória ;3205309;1;45;4727;343;3578;602;168
2023;Afonso Cláudio ;3200102;0;2;364;12;336;1;0
2023;Água Doce do Norte ;3200169;1;5;143;5;120;3;1
2023;Águia Branca ;3200136;0;7;169;7;145;14;3
2023;Alegre ;3200201;0;10;440;16;332;46;53
2023;Alfredo Chaves ;3200300;0;4;186;10;174;7;1
2023;Alto Rio Novo ;3200359;0;5;89;3;81;1;0
2023;Anchieta ;3200409;0;3;591;18;561;16;3
2023;Apiacá ;3200508;0;12;85;0;58;3;0
2023;Aracruz ;3200607;0;36;1139;88;987;89;20
2023;Atílio Vivácqua ;3200706;0;7;160;9;159;5;0
2023;Baixo Guandu ;3200805;2;9;359;19;326;14;3
2023;Barra de São Francisco ;3200904;0;8;542;12;471;22;10
2023;Boa Esperança ;3201001;0;7;238;16;224;21;4
2023;Bom Jesus do Norte ;3201100;1;12;102;7;85;4;3
2023;Brejetuba ;3201159;0;0;192;9;181;1;0
2023;Cachoeiro de Itapemirim ;3201209;2;24;2154;126;1892;119;41
2023;Cariacica ;3201308;0;37;4226;137;3629;284;55
2023;Castelo ;3201407;0;3;491;19;464;16;6
2023;Colatina ;3201506;0;26;1324;135;1232;114;69
2023;Conceição da Barra ;3201605;0;30;397;11;309;15;3
2023;Conceição do Castelo ;3201704;0;0;172;9;164;5;2
2023;Divino de São Lourenço ;3201803;0;0;61;3;60;2;0
2023;Domingos Martins ;3201902;0;28;445;13;384;18;1
2023;Dores do Rio Preto ;3202009;0;2;103;8;94;8;2
2023;Ecoporanga ;3202108;0;3;268;17;233;5;0
2023;Fundão ;3202207;0;4;226;17;218;5;1
2023;Governador Lindenberg ;3202256;0;2;153;6;143;6;1
2023;Guaçuí ;3202306;0;2;361;16;320;10;3
2023;Guarapari ;3202405;2;29;1413;53;1218;106;37
2023;Ibatiba ;3202454;0;5;286;15;232;26;16
2023;Ibiraçu ;3202504;0;4;158;11;148;9;1
2023;Ibitirama ;3202553;0;2;162;4;149;4;1
2023;Iconha ;3202603;0;2;131;1;126;6;1
2023;Irupi ;3202652;0;1;152;9;147;7;0
2023;Itaguaçu ;3202702;0;16;188;5;160;1;0
2023;Itapemirim ;3202801;0;20;651;24;618;16;1
2023;Itarana ;3202900;0;6;136;5;127;0;0
2023;Iúna ;3203007;0;6;372;15;334;10;2
2023;Jaguaré ;3203056;0;11;384;8;359;13;0
2023;Jerônimo Monteiro ;3203106;0;2;134;7;124;12;4
2023;João Neiva ;3203130;0;2;200;11;184;10;1
2023;Laranja da Terra ;3203163;0;0;136;8;131;0;1
2023;Linhares ;3203205;0;36;2092;147;1873;95;17
2023;Mantenópolis ;3203304;0;8;137;2;117;5;1
2023;Marataízes ;3203320;0;3;852;26;808;66;2
2023;Marechal Floriano ;3203346;0;5;210;9;186;13;0
2023;Marilândia ;3203353;0;8;161;10;147;5;2
2023;Mimoso do Sul ;3203403;0;5;261;8;235;5;3
2023;Montanha ;3203502;1;18;300;20;256;21;12
2023;Mucurici ;3203601;0;4;84;3;71;1;0
2023;Muniz Freire ;3203700;0;0;261;4;222;8;0
2023;Muqui ;3203809;0;1;169;8;160;5;0
2023;Nova Venécia ;3203908;0;14;751;46;683;39;14
2023;Pancas ;3204005;0;6;197;7;186;1;0
2023;Pedro Canário ;3204054;0;9;288;15;273;8;0
2023;Pinheiros ;3204104;0;9;290;15;281;14;1
2023;Piúma ;3204203;0;2;336;27;293;21;27
2023;Ponto Belo ;3204252;0;1;98;9;98;0;0
2023;Presidente Kennedy ;3204302;0;6;299;8;261;93;3
2023;Rio Bananal ;3204351;0;13;290;17;265;2;1
2023;Rio Novo do Sul ;3204401;0;2;163;5;139;6;0
2023;Santa Leopoldina ;3204500;0;2;126;8;101;4;3
2023;Santa Maria de Jetibá ;3204559;0;1;538;28;496;40;11
2023;Santa Teresa ;3204609;0;2;350;11;264;28;40
2023;São Domingos do Norte ;3204658;0;0;151;4;133;1;0
2023;São Gabriel da Palha ;3204708;0;6;370;14;344;5;1
2023;São José do Calçado ;3204807;1;5;118;15;117;3;0
2023;São Mateus ;3204906;1;49;1557;137;1331;155;16
2023;São Roque do Canaã ;3204955;0;1;126;7;117;4;0
2023;Serra ;3205002;9;133;5637;223;4400;412;104
2023;Sooretama ;3205010;0;10;416;8;373;6;4
2023;Vargem Alta ;3205036;0;2;245;4;221;8;2
2023;Venda Nova do Imigrante ;3205069;0;4;383;8;293;43;28
2023;Viana ;3205101;0;3;1071;28;960;49;11
2023;Vila Pavão ;3205150;0;1;136;4;130;10;1
2023;Vila Valério ;3205176;0;2;202;1;172;2;0
2023;Vila Velha ;3205200;5;214;4702;282;3409;415;81
2023;Vitória ;3205309;0;62;4734;405;3540;668;184
2024;Afonso Cláudio ;3200102;0;3;362;5;332;2;0
2024;Água Doce do Norte ;3200169;0;3;147;5;126;4;1
2024;Águia Branca ;3200136;0;7;171;9;149;13;2
2024;Alegre ;3200201;0;12;439;23;345;81;51
2024;Alfredo Chaves ;3200300;0;4;179;10;168;6;1
2024;Alto Rio Novo ;3200359;0;3;78;4;77;1;0
2024;Anchieta ;3200409;0;8;624;20;577;20;4
2024;Apiacá ;3200508;0;8;91;2;66;3;0
2024;Aracruz ;3200607;0;44;1265;76;1045;89;25
2024;Atílio Vivácqua ;3200706;0;7;160;8;155;6;0
2024;Baixo Guandu ;3200805;1;11;392;17;361;9;1
2024;Barra de São Francisco ;3200904;0;9;535;11;469;22;8
2024;Boa Esperança ;3201001;0;9;231;15;207;21;3
2024;Bom Jesus do Norte ;3201100;1;14;88;6;78;5;3
2024;Brejetuba ;3201159;0;2;186;3;170;2;0
2024;Cachoeiro de Itapemirim ;3201209;1;32;2201;101;1841;111;34
2024;Cariacica ;3201308;2;63;4271;115;3614;281;58
2024;Castelo ;3201407;0;3;483;8;442;23;4
2024;Colatina ;3201506;0;35;1335;106;1203;119;68
2024;Conceição da Barra ;3201605;0;41;397;6;281;20;3
2024;Conceição do Castelo ;3201704;0;2;175;1;164;3;2
2024;Divino de São Lourenço ;3201803;0;0;57;1;52;0;1
2024;Domingos Martins ;3201902;0;29;447;11;378;17;0
2024;Dores do Rio Preto ;3202009;0;2;119;3;95;10;2
2024;Ecoporanga ;3202108;0;4;257;12;235;5;0
2024;Fundão ;3202207;0;3;217;15;208;8;2
2024;Governador Lindenberg ;3202256;0;3;156;4;142;7;1
2024;Guaçuí ;3202306;0;6;387;19;332;17;7
2024;Guarapari ;3202405;2;30;1466;43;1244;110;40
2024;Ibatiba ;3202454;0;8;311;12;248;24;19
2024;Ibiraçu ;3202504;0;5;159;9;142;6;1
2024;Ibitirama ;3202553;0;2;155;4;147;3;1
2024;Iconha ;3202603;0;1;132;5;131;8;2
2024;Irupi ;3202652;0;1;155;10;146;9;1
2024;Itaguaçu ;3202702;0;23;174;6;150;1;0
2024;Itapemirim ;3202801;0;12;593;9;547;18;2
2024;Itarana ;3202900;0;2;161;3;150;0;0
2024;Iúna ;3203007;1;13;347;8;300;14;4
2024;Jaguaré ;3203056;0;20;396;7;367;12;1
2024;Jerônimo Monteiro ;3203106;0;2;136;2;128;10;4
2024;João Neiva ;3203130;0;6;198;7;184;7;0
2024;Laranja da Terra ;3203163;0;1;136;5;127;0;1
2024;Linhares ;3203205;1;53;2161;127;1917;95;19
2024;Mantenópolis ;3203304;0;9;146;2;132;3;1
2024;Marataízes ;3203320;0;8;910;34;900;82;3
2024;Marechal Floriano ;3203346;0;3;213;8;182;12;0
2024;Marilândia ;3203353;0;4;169;9;154;4;2
2024;Mimoso do Sul ;3203403;0;3;259;9;234;7;3
2024;Montanha ;3203502;0;21;323;22;267;23;13
2024;Mucurici ;3203601;0;8;85;2;73;1;0
2024;Muniz Freire ;3203700;0;0;272;2;220;11;0
2024;Muqui ;3203809;0;2;166;9;158;4;0
2024;Nova Venécia ;3203908;0;12;777;38;711;40;15
2024;Pancas ;3204005;0;8;211;3;192;2;0
2024;Pedro Canário ;3204054;0;12;281;11;260;7;0
2024;Pinheiros ;3204104;0;7;306;14;292;13;1
2024;Piúma ;3204203;0;3;360;23;312;20;30
2024;Ponto Belo ;3204252;0;5;101;10;95;0;0
2024;Presidente Kennedy ;3204302;0;7;337;6;300;98;1
2024;Rio Bananal ;3204351;0;10;292;21;274;1;1
2024;Rio Novo do Sul ;3204401;0;2;163;4;140;7;0
2024;Santa Leopoldina ;3204500;0;5;132;2;104;5;4
2024;Santa Maria de Jetibá ;3204559;0;8;536;24;471;40;12
2024;Santa Teresa ;3204609;0;2;334;19;259;31;36
2024;São Domingos do Norte ;3204658;0;4;134;3;105;2;0
2024;São Gabriel da Palha ;3204708;0;14;396;8;356;8;0
2024;São José do Calçado ;3204807;1;5;113;16;113;2;0
2024;São Mateus ;3204906;1;52;1550;117;1300;152;14
2024;São Roque do Canaã ;3204955;0;0;137;5;128;2;0
2024;Serra ;3205002;8;190;5632;219;4292;394;94
2024;Sooretama ;3205010;0;16;405;7;357;6;4
2024;Vargem Alta ;3205036;0;2;252;4;226;7;2
2024;Venda Nova do Imigrante ;3205069;0;10;381;13;295;37;30
2024;Viana ;3205101;0;5;1026;33;941;51;9
2024;Vila Pavão ;3205150;0;1;139;1;124;7;1
2024;Vila Valério ;3205176;0;12;192;5;169;0;0
2024;Vila Velha ;3205200;9;217;4746;208;3396;409;93
2024;Vitória ;3205309;0;76;4889;387;3614;634;196
